,building_type_id,building_sqft,general_type,lot_size,residential_units,net_residential_units
1,24,2047.9,Residential,20479,3.0,-6.0
13,20,34856.9,Residential,348569,35.0,-73.0
43,20,817.1,Residential,8171,1.0,-1.0
6317,3,788.6,Residential,7886,1.0,0.0
6323,24,810.5,Residential,8105,1.0,0.0
6700,20,1209.7,Residential,12097,2.0,1.0
6708,3,823.6,Residential,8236,1.0,0.0
6722,20,662.0,Residential,6620,1.0,0.0
6738,24,900.4000000000001,Residential,9004,1.0,0.0
6743,3,732.7,Residential,7327,1.0,0.0
6750,2,778.4000000000001,Residential,7784,1.0,0.0
6757,3,3058.7000000000003,Residential,30587,4.0,4.0
6770,3,929.7,Residential,9297,1.0,-1.0
6779,3,970.0,Residential,9700,1.0,0.0
6782,24,947.4000000000001,Residential,9474,1.0,0.0
6783,20,856.7,Residential,8567,1.0,0.0
6798,2,785.2,Residential,7852,1.0,0.0
6810,3,1048.4,Residential,10484,2.0,1.0
6812,3,783.3000000000001,Residential,7833,1.0,0.0
6858,2,860.8000000000001,Residential,8608,1.0,0.0
6866,3,836.4000000000001,Residential,8364,1.0,0.0
6939,20,832.7,Residential,8327,1.0,0.0
6944,20,1020.2,Residential,10202,2.0,1.0
6954,24,773.1,Residential,7731,1.0,0.0
6960,20,5808.5,Residential,58085,6.0,6.0
6969,20,968.2,Residential,9682,1.0,0.0
6983,2,966.8000000000001,Residential,9668,1.0,0.0
6984,3,726.9000000000001,Residential,7269,1.0,0.0
7038,3,709.3000000000001,Residential,7093,1.0,0.0
7042,20,837.1,Residential,8371,1.0,0.0
7066,3,788.0,Residential,7880,1.0,0.0
7074,20,913.6,Residential,9136,1.0,0.0
7080,3,779.6,Residential,7796,1.0,0.0
7084,20,760.6,Residential,7606,1.0,0.0
7097,3,786.6,Residential,7866,1.0,0.0
7125,20,991.2,Residential,9912,1.0,-1.0
7127,3,902.4000000000001,Residential,9024,1.0,0.0
7131,3,848.0,Residential,8480,1.0,0.0
7150,24,24304.300000000003,Residential,243043,25.0,25.0
7151,3,1516.7,Residential,15167,2.0,2.0
7259,3,702.2,Residential,7022,1.0,0.0
7260,24,945.4000000000001,Residential,9454,1.0,0.0
7263,2,773.6,Residential,7736,1.0,0.0
7268,2,617.2,Residential,6172,1.0,0.0
7269,24,692.8000000000001,Residential,6928,1.0,1.0
7272,24,787.3000000000001,Residential,7873,1.0,0.0
7278,24,1211.5,Residential,12115,2.0,0.0
7284,24,936.2,Residential,9362,1.0,0.0
7286,2,1632.8000000000002,Residential,16328,2.0,0.0
7291,3,942.3000000000001,Residential,9423,1.0,0.0
7292,3,764.9000000000001,Residential,7649,1.0,0.0
7293,24,1186.3,Residential,11863,2.0,1.0
7297,24,1510.4,Residential,15104,2.0,1.0
7298,24,829.0,Residential,8290,1.0,0.0
7301,3,805.3000000000001,Residential,8053,1.0,0.0
7305,2,894.0,Residential,8940,1.0,0.0
7307,24,785.6,Residential,7856,1.0,0.0
7308,2,1513.0,Residential,15130,2.0,-2.0
7314,24,885.6,Residential,8856,1.0,0.0
7316,2,831.4000000000001,Residential,8314,1.0,0.0
7319,2,661.9000000000001,Residential,6619,1.0,0.0
7323,2,965.5,Residential,9655,1.0,0.0
7324,24,1205.9,Residential,12059,2.0,0.0
7326,2,785.3000000000001,Residential,7853,1.0,0.0
7327,2,1562.9,Residential,15629,2.0,1.0
7347,2,576.7,Residential,5767,1.0,0.0
7352,24,617.2,Residential,6172,1.0,0.0
7353,3,561.2,Residential,5612,1.0,0.0
7359,3,578.7,Residential,5787,1.0,0.0
7370,24,744.0,Residential,7440,1.0,0.0
7376,3,586.9,Residential,5869,1.0,0.0
7377,3,730.2,Residential,7302,1.0,0.0
7379,24,723.3000000000001,Residential,7233,1.0,0.0
7380,2,669.4000000000001,Residential,6694,1.0,0.0
7394,3,805.8000000000001,Residential,8058,1.0,0.0
7397,24,794.2,Residential,7942,1.0,0.0
7400,2,661.8000000000001,Residential,6618,1.0,0.0
7412,24,743.2,Residential,7432,1.0,0.0
7417,24,589.5,Residential,5895,1.0,0.0
7419,24,882.8000000000001,Residential,8828,1.0,0.0
7427,2,800.5,Residential,8005,1.0,0.0
7428,20,819.5,Residential,8195,1.0,0.0
7430,24,692.4000000000001,Residential,6924,1.0,0.0
7432,2,754.4000000000001,Residential,7544,1.0,0.0
7434,2,795.7,Residential,7957,1.0,0.0
7436,24,840.5,Residential,8405,1.0,0.0
7443,2,865.9000000000001,Residential,8659,1.0,0.0
7444,2,800.5,Residential,8005,1.0,0.0
7453,2,789.2,Residential,7892,1.0,0.0
7464,2,690.0,Residential,6900,1.0,0.0
7466,2,594.2,Residential,5942,1.0,0.0
7467,2,605.5,Residential,6055,1.0,0.0
7479,24,636.1,Residential,6361,1.0,0.0
7481,24,595.8000000000001,Residential,5958,1.0,0.0
7491,24,673.6,Residential,6736,1.0,0.0
7500,3,744.7,Residential,7447,1.0,1.0
7603,3,250.0,Residential,1298,1.0,0.0
7608,3,605.8000000000001,Residential,6058,1.0,1.0
7611,2,830.9000000000001,Residential,8309,1.0,-1.0
7693,2,977.6,Residential,9776,1.0,0.0
7703,20,1113.7,Residential,11137,2.0,1.0
7724,2,775.0,Residential,7750,1.0,0.0
7728,3,819.4000000000001,Residential,8194,1.0,0.0
7729,3,801.4000000000001,Residential,8014,1.0,0.0
7731,2,809.4000000000001,Residential,8094,1.0,0.0
